site,height,km,time
鯉魚潭,31.3,5.2,0.5
光復,39,15.9,1.5
瑞穗,64.9,11.3,1
鹿野龍田,356.7,20.2,2
玉富,11.2,5.6,0.5
池上,21.4,17.4,1.5
關山,45.7,15.2,1.5
兩潭,137,36,3.5
羅山,173.1,10.8,1
瑞北-富源舊鐵道,63,9.7,1
